,Types of Regressor,Mean Absolute Error
0,Linear,2.3369749512784193
1,Linear,1.9960213965673554
2,Linear,3.1637913108929614
3,Linear,1.726280901132722
4,Linear,1.5036672415391632
5,Ridge,2.3395479192060193
6,Ridge,1.997279565074
7,Ridge,3.165230746718237
8,Ridge,1.7250232711253473
9,Ridge,1.5046243566982578
10,Lasso,2.365332595987768
11,Lasso,1.9736783415143948
12,Lasso,3.271929537354695
13,Lasso,1.7611932645439623
14,Lasso,1.542124530041809
15,Huber Regressor,3.512003526380111
16,Huber Regressor,2.428305938232821
17,Huber Regressor,3.6908529033000614
18,Huber Regressor,1.7887616058925038
19,Huber Regressor,2.273591016325126
