,features,importance
0,mean,0.10923752419628714
1,std,0.7643212863671264
2,skew,0.030962997231025115
3,FFT_mean_real,0.02260074528614285
4,FFT_mean_imag,0.1288762906163515
5,FFT_std_real,0.7247619721830977
6,FFT_std_max,0.10467020174498345
7,Roll_std_p05,0.9312918206157061
8,Roll_std_p30,0.9910996808728445
9,Roll_std_p60,1.0
10,Roll_std_absDiff,0.003326240890037879
11,Roll_mean_p05,0.5451165906653836
12,Roll_mean_absDiff,0.0473756710173668
13,MFCC_mean02,0.9225891137307092
14,MFCC_mean16,0.6766440605844547
