,MAE score,Classifier
0,2.1767766707006735,NN (no index)
1,2.101430642748075,NN (no index)
2,2.1437885362318667,NN (no index)
3,2.065578783074961,NN (no index)
4,2.1513175265711006,NN (no index)
0,2.1467119372056946,NN (with index)
1,2.016958272251144,NN (with index)
2,2.1351532362069685,NN (with index)
3,2.0428587855167155,NN (with index)
4,2.05074761320522,NN (with index)
0,2.1348173133750907,SVM Linear Full Features (no index)
1,2.037924551934845,SVM Linear Full Features (no index)
2,2.1328135029516146,SVM Linear Full Features (no index)
3,2.0767599268097174,SVM Linear Full Features (no index)
4,2.110901026139481,SVM Linear Full Features (no index)
0,2.0948055871834317,SVM Linear Full Features (with index)
1,1.998218704321434,SVM Linear Full Features (with index)
2,2.10667474958271,SVM Linear Full Features (with index)
3,2.0590670029270273,SVM Linear Full Features (with index)
4,2.067212328303273,SVM Linear Full Features (with index)
0,2.0350610678240755,SVM RFB Full Features (with index)
1,1.9417162797762386,SVM RFB Full Features (with index)
2,1.9963185088605777,SVM RFB Full Features (with index)
3,1.9833029849984034,SVM RFB Full Features (with index)
4,1.9797441373697315,SVM RFB Full Features (with index)
0,2.090216090177553,SVM RFB Full Features (no index)
1,1.9997036373468327,SVM RFB Full Features (no index)
2,2.043595457726988,SVM RFB Full Features (no index)
3,2.0285362767928516,SVM RFB Full Features (no index)
4,2.0296449992460013,SVM RFB Full Features (no index)
0,2.1036654372686576,SVM RFB Top Three Features (no index)
1,1.993153883708254,SVM RFB Top Three Features (no index)
2,2.083825789349406,SVM RFB Top Three Features (no index)
3,2.0288688068581218,SVM RFB Top Three Features (no index)
4,2.058073308063782,SVM RFB Top Three Features (no index)
0,2.1036654372686576,SVM RFB Top Three Features (with index)
1,1.919966584077033,SVM RFB Top Three Features (with index)
2,2.083825789349406,SVM RFB Top Three Features (with index)
3,1.9700273150588898,SVM RFB Top Three Features (with index)
4,2.058073308063782,SVM RFB Top Three Features (with index)
